,name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag,objname,ra2000,de2000,t,t_err,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist
52,NGC3488,165.34815,57.67763000000001,128.72164326799998,1.5354431872299998,92.0497467676,,0.00211672519514,9.66659176524e-05,,0.00288560866964,8.78720585595e-05,,0.0060413866061300005,0.0005711106464319999,,0.018398231638900003,0.000527557502037,,0.0274769726916,0.000916694079707,,0.0363907190784,0.0019942352811800003,,0.0395176462631,0.00294808397768,,0.0438574272631,0.00504177464898,,0.043380041621,0.0226287847219,,0.0445219284992,0.0105401627829,,0.0388726577535,0.0034205011296218678,N,0.0187864858379,0.002545554865027124,N,0.058358604022199986,0.002739632028707668,,0.05817685762260001,0.007985197290856408,,0.0256226219728,0.0011888076716043605,,0.0179188760053,0.0015854007706363096,,0.0248170410317,0.004475117590601187,,0.0658982887791,0.002480243069027096,,0.06213351349600001,0.0035084460654156,,0.670916850176,0.03255379009451681,,3.1661822566000004,0.145819742275397,,,,,1.5324671391299998,0.5988729135135764,,2.4418700386700003,0.5653476326345416,,1.75587877252,0.11575723579409256,,0.8483859966410001,0.08501540685446493,,0.355631564018,0.06125389874993995,,NGC3488,165.34815,57.67763000000001,5.2,0.5,SBc,1.18,1.5135610659999998,14.08,63.9,2994.0,3404.0,46.47733479,43.73,2995,40.89295467,37.84426446,37.84426446
53,NGC3512,166.0134,28.03625,117.94125413100001,1.3772154399599998,78.1447891072,,0.0043239372059700005,0.000198125250034,,0.00541958124777,0.00015151395275900002,,0.0107224937912,0.000529385762751,,0.030140833531400006,0.000588945793333,,0.0494535743717,0.000684747983907,,0.063214717961,0.0010463341193300002,,0.0687241196375,0.00352750133435,,0.0955736364185,0.00577754043706,,0.100911819416,0.0196496579032,,0.0945708887279,0.00880222121249,,0.052992391035699984,0.000898952054644686,,0.035471733584199985,0.004197593976716535,,0.111449987269,0.005620230597859689,,0.150785913325,0.013063489472357344,,0.0524479467275,0.003035514160217113,,0.0336690063106,0.0015591541029204,,0.0601785374046,0.001956537594567205,,0.145582118918,0.0012283355407916318,,0.1417243075,0.0015918309652644762,,2.06611193237,0.13216686879659398,,,,,,,,3.3638627691900003,0.6182363790075877,,5.32036178243,0.8169093591640855,,2.80093922561,0.12104454587105765,,1.2363964764,0.0926114929623392,,0.43773716138,0.05804996590516341,,NGC3512,166.0134,28.03625,5.1,0.5,Sc,1.2,1.584893366,13.02,31.1,1376.0,1887.0,25.7646095,25.0,1374,18.76024031,,25.0
54,NGC3521,166.45245,-0.03578,708.192083301,1.81216928655,65.7984058798,,0.0231015425766,0.00111051038534,,0.0460702275477,0.00135295542063,,0.364230398602,0.0162083710845,,0.884850997736,0.0102465791268,,1.59393444407,0.0297526801453,,2.23231795605,0.0316209250116,,2.96100293655,0.07234888145330001,,3.5899048052,0.111541343728,,6.46155908603,0.447192205678,,4.249616636619999,0.17004006014000006,,2.05291008864,0.009573992742080994,,1.21945108185,0.009752143624774334,,5.549908349830001,0.060266739084784186,,6.2145311543,0.0972317042316367,,1.97352171504,0.01818091964909625,N,1.39931032528,0.01723906897343254,N,1.84784732779,0.014480629450276944,N,5.11642722641,0.01656539777605168,N,5.35199941704,0.14390929463522234,,,,,,,,76.7293282275,9.089141475446,,158.304467001,7.790989359730522,,210.433067806,7.398438317040753,,109.54794475700001,2.161732670010338,,47.089590514499996,1.4259104397106923,,16.6375243587,0.4815825622685783,,NGC3521,166.45245,-0.03578,4.0,0.2,SABb,1.92,8.317636889,9.9,60.0,801.0,582.0,7.946477335,11.99,800,10.9229929,12.41651915,12.41651915
55,NGC3622,170.05155,67.24166,93.1438399863,1.1772606147600002,96.495114859,,0.0028605936377,0.000131026430027,,0.00376058736286,0.000109000303154,,0.008419977724479999,0.000388778293729,,0.0184165695788,0.00047321159631,,0.027470539552000003,0.000453715621601,,0.0334541550396,0.0008176904415189999,,0.0350819888454,0.00161221906218,,0.0419533381935,0.0070324685512,,0.0552966307199,0.013605400093100002,,0.0380332844402,0.0103554428994,,0.0221133410607,0.0008049989181961535,,0.0127998271209,0.0008837976003294158,,0.0453675750837,0.0017879847745158523,,0.07532021816989999,0.004999782915095739,,0.0236473335575,0.0010618243524448373,,0.0160108906587,0.0007168368406468429,,0.016762962193,0.0027407882328210555,,0.052182352783900016,0.0013197173877435135,,0.0760864806456,0.010732029833449452,,,,,,,,1.96640476946,0.30500623007413424,,3.26562149554,0.5488479061064296,,3.12415061598,0.2789050745420569,,1.71158763639,0.09299660721727512,,0.877195320121,0.07862054969040431,,0.371233801264,0.03557056737975151,,NGC3622,170.05155,67.24166,7.3,2.2,Sc,1.1,1.258925481,13.63,68.3,1297.0,1731.0,23.63462589,22.73,1302,17.77717094,20.60630529,20.60630529
56,NGC3627,170.0625,12.99099,602.705383032,1.92292200099,78.5998312358,,0.0293902226481,0.00133855825476,,0.0587972411084,0.00161789321026,,0.243372226855,0.0062781065957200006,,0.870648886095,0.00809560908715,,1.53636834958,0.0133517398501,,2.13767367305,0.0166466006407,,2.40596553726,0.0282138161686,,3.26513600715,0.0806957926787,,4.02608138702,0.209697495183,,3.25423960361,0.0971633028486,,1.8188064582700003,0.007700609404304472,,1.29616520145,0.01019486225612008,,3.46454721953,0.029212551289074924,,8.08223784272,0.053450406032845454,,1.79515757149,0.015617064730826215,N,1.22989500841,0.005050444060819128,N,1.72566029149,0.009850163806964995,N,4.81260086767,0.008694627628774437,N,5.3384430084500005,0.09637203935216312,,,,,,,,111.790505605,3.4360346607682657,,190.73972026599998,5.78415014272254,,203.17555978299998,4.439711044110297,,92.32809613,0.7286646036028711,,37.5671004629,0.7089368940324245,,12.686528426199999,0.3484552439289333,,NGC3627,170.0625,12.99099,3.1,0.4,SABb,2.01,10.2329297,9.74,67.5,727.0,477.0,6.512834517000001,9.68,720,9.83069361,11.4815347,11.4815347
57,NGC3628,170.0706,13.58876,770.850310043,3.27871170792,12.9948330447,,0.006929750158729999,0.000322710369618,,0.017621070692900004,0.000511482841937,,0.112944511876,0.00244783029077,,0.457899517639,0.0043310915982900005,,0.875220703227,0.00806211708419,,1.24758887543,0.00991197436513,,1.4869804868799998,0.020580452235,,2.3927751614700004,0.0544556172289,,1.80457619962,0.131061069485,,2.46584907255,0.06523529359500001,,1.5099922338,0.004644063735032072,,0.932403325571,0.007937317371176412,,3.53827855962,0.014482253354026656,,5.12500364163,0.034937310223976906,,1.49865991315,0.005165518401344664,,1.0447359838,0.007858829485448887,,1.5967863395100002,0.0060785008839051935,,3.70467788791,0.0158037121775605,,4.96912367874,0.050483170720128735,,,,,,,,90.2305400358,1.2148455129203497,,165.036753349,1.7180092680313406,,196.330587178,1.546650802648105,,106.495790703,0.4297954479902696,,47.03345796479999,0.32113337565487243,,17.3134100204,0.16897605781314987,,NGC3628,170.0706,13.58876,3.1,0.3,Sb,2.04,10.964781,9.97,79.3,843.0,621.0,8.478973239,10.71,846,11.55106499,10.81433752,10.81433752
58,IC0691,171.6846,59.15548,77.9422863406,1.00002142896,135.000038006,,0.0014137691317,6.72807228917e-05,,0.00163606314512,6.56099140166e-05,,0.00331135218072,0.000162234211857,,0.00894573571548,0.000285373047902,,0.015401135764799997,0.000366488651885,,0.0183346618952,0.0006736014409809999,,0.0203272389778,0.00177907323077,,0.0297759206653,0.00413490666007,,0.045585090884800006,0.00923618903968,,0.043767191359800006,0.00568567945903,,0.0275614369622,0.000574455841552106,,0.0238991275984,0.000703023705789296,,0.149176752985,0.0013448948495175396,,0.52257868949,0.0054693977289128285,,0.0286285148336,0.0010855440684569412,,0.025587952013,0.0013970056850404918,,0.0574493198725,0.003974540265457943,,0.134512748204,0.007473628711433294,,0.496863112646,0.007643387755183408,,,,,,,,3.80840578459,0.30735412422939057,,4.7579606430400005,0.2319147353322459,,3.21026873269,0.2396498463395625,,1.284512208,0.07120308158357169,,0.484163491804,0.056185814508890985,,0.178660113103,0.027358621002650886,,IC0691,171.6846,59.15548,-2.0,2.0,E?,1.06,1.14815347,12.78,56.3,1197.0,1656.0,22.6105953,23.7,1201,16.39814309,,23.7
59,IC2828,171.7956,8.73117,77.9422863406,1.00002142896,135.000038006,,0.00139161191448,7.23794553464e-05,,0.0015812946122200002,5.74487996238e-05,,0.0029369348139699995,0.000288967522513,,0.00596690900832,0.000217022327583,,0.0077672253625400015,0.00038153881208,,0.007921226454939999,0.000970696881256,,0.00842751599073,0.00177564460037,,0.006788767104589999,0.005449079122520001,,0.0131075788515,0.0133895407993,,0.00209314248817,0.0052453022687,,0.00513376033455,0.0006926483880579907,,0.00363014098422,0.000822745974518133,,0.0113880017436,0.0022389757234347173,,0.0365098017734,0.006718742176185399,,0.00600239432587,0.0007216134340220018,,0.004491444530590001,0.0007058388728047303,,0.00392235517915,0.001926483806905578,,0.010347765138,0.0012708516223043785,,0.0279103149739,0.004102573165895445,,,,,,,,0.0998280632532,0.31041027356752265,,0.761098081622,0.3032022946636194,,0.5636500024100001,0.25272252299795306,,0.356860694357,0.08156907379022738,,0.19530903839,0.058904210494397535,,0.08774133996,0.034772375494952164,,IC2828,171.7956,8.73117,10.0,2.0,S?,1.0,1.0,15.03,81.3,1039.0,1053.0,14.3773894,,1036,14.14527581,,14.3773894
60,NGC3773,174.55425,12.11216,85.542280981,1.09744355221,66.0731482492,,0.00398326425201,0.000201858234046,,0.00495797149829,0.00013918381954299998,,0.00873273695419,0.000229037555488,,0.0176979957095,0.000369132831472,,0.0271449497664,0.000506098627894,,0.0324676296979,0.000779235491748,,0.0351087114454,0.00142018710652,,0.0360042607096,0.00327354842983,,0.037776345137,0.00934532371197,,0.034955920065800006,0.00439869245391,,0.020871512245,0.0008102821036333878,,0.0131408582037,0.0009061454350583355,,0.0462048674766,0.0018997677760847474,,0.14248353305199998,0.006689777572547072,,0.0225320673555,0.0014340521075574535,,0.0148070338091,0.0007458029880516046,,0.0212997549021,0.0011712968793666464,,0.04970868279,0.0010613304444700607,,0.14288166036299998,0.0030815175333551983,,,,,,,,1.30859046679,0.43086544834454943,,2.14449078534,0.29945643260453786,,2.1327133647,0.31031966378662035,,0.946716716391,0.08048924125543777,,0.361863474221,0.06504594725899389,,0.118236426688,0.03800194830238557,,NGC3773,174.55425,12.11216,-2.1,0.7,S0,1.09,1.230268865,13.51,44.1,982.0,786.0,10.73184052,17.0,985,13.44893501,,17.0
61,NGC3870,176.4858,50.19983,77.9422863406,1.00002142896,135.000038006,,0.00325591887947,0.00014737250532,,0.00418738888039,0.000115023330188,,0.00858480353807,0.000267915580483,,0.0185176156113,0.000300304513097,,0.0265865701127,0.000347033272975,,0.0320952444758,0.0007142619731170001,,0.0352885971718,0.00116529904237,,0.038263265896,0.0047875938656,,0.0369638978705,0.0399170399292,,0.0395168454817,0.008718006339209999,,0.0198982895335,0.0007418291215220243,,0.0102674433602,0.0006296632098097527,,0.0444209856428,0.0018054832480569585,,0.104303376825,0.00481253207192136,,0.021236411763,0.0010873976360291746,,0.0143070504758,0.0010830762262503662,,0.0229207811246,0.0026764928841046835,,0.052764921862900015,0.001033569563248856,,0.104449842877,0.0021124387007269733,,,,,,,,1.50551638762,0.2120666007676161,,2.43860764279,0.3299193478940199,,1.85227484105,0.3042885053124655,,0.98884731242,0.05207025349118427,,0.408190489061,0.06981774397512776,,0.14301705905,0.04247956556215976,,NGC3870,176.4858,50.19983,-1.2,2.7,S0,1.01,1.02329297,13.49,50.4,756.0,1098.0,14.99180776,15.63,746,10.18569088,,15.63
62,NGC3938,178.2057,44.1208,271.731517366,1.12957903452,130.406092278,,0.0285623416253,0.00128942047781,,0.0364029046894,0.000987842022744,,0.0823972274894,0.00142507427681,,0.218013997694,0.0023001425890500004,,0.329328807804,0.00310228980607,,0.420697144702,0.00459729552338,,0.4745085883120001,0.0119238480967,,0.567156619206,0.0201618496438,,0.6011305838750001,0.06622592323359999,,0.596783975845,0.0328523212359,,0.302017514815,0.004147535959620521,,0.189191564763,0.008074764270325661,,0.928065564292,0.013869881997087193,,1.16423123175,0.03309595173602472,,0.32065321226300003,0.007180742016659066,,0.225811830418,0.005349010463259511,,0.244064928038,0.011134770197205424,,0.911102266549,0.0041535240923649104,,1.05229252957,0.014816350750291866,,,,,,,,14.0002611552,2.7132384628304838,,30.6422206167,2.3586839723745783,,40.676738671,2.9062400609793,,22.4640741298,0.4519199915453072,,10.0471069116,0.3342965324182676,,3.75950770098,0.20649686641599613,,NGC3938,178.2057,44.1208,5.2,0.5,Sc,1.55,3.5481335030000003,10.92,14.1,809.0,1134.0,15.48334244,19.8,808,11.03222283,19.40886355,19.40886355
63,NGC3982,179.11725,55.124930000000006,127.401790031,1.08357861678,-43.6693118173,,,,,0.012478129438200002,0.000341109839364,,0.027294049000400004,0.000609848997758,,0.0680216844667,0.000838033064087,,0.10543409544,0.00111937736594,,0.132256217864,0.00180767515471,,0.155440556018,0.00372831395856,,0.214000832975,0.00947286536685,,0.24804365612,0.0261612154783,,0.19292945120700006,0.00942263973501,,0.111519895672,0.0010628345897708519,,0.07316096985210001,0.0016282385703722626,,0.469614265381,0.005657535696533907,,0.7791633818520001,0.01062357957775048,,0.109340602951,0.0019294964020689226,,0.0763635846038,0.0017133972243671151,,0.284943787878,0.03080912394366717,,0.495541084542,0.0033471791396556443,,0.763144726894,0.007862966332442791,,9.34514272058,0.2936267487639808,N,16.2507872373,,N,10.082795732000001,0.9289477178818007,,16.457803313,1.181338002436084,,15.983502888,0.9336334090851102,,7.379211761930001,0.12151776711177124,,3.07102578765,0.13160995046261334,,1.1112695851,0.0802767655438446,,NGC3982,179.11725,55.124930000000006,3.2,0.6,SABb,1.33,2.137962301,11.77,29.9,1109.0,1589.0,21.69579465,21.76,1112,15.18296013,23.44228198,23.44228198
